num,name,website,buildings
108,Plus Development,https://www.cian.ru/zastroishchik-plus-development-18449/,2 дома в 1 ЖК
109,Квартал-Инвестстрой СЗ,https://www.cian.ru/zastroishchik-kvartal-investstroi-sz-15624/,6 домов в 1 ЖК
110,ГК Садовое кольцо,https://www.cian.ru/zastroishchik-gk-sadovoe-koltso-7802/,27 домов в 10 ЖК
111,ГК ТехноСтройОлимп,https://www.cian.ru/zastroishchik-gk-tekhnostroiolimp-7972/,29 домов в 4 ЖК
112,ASTERUS,https://www.cian.ru/zastroishchik-asterus-15417/,11 домов в 1 ЖК
113,СЗ КомфортИнвест,https://www.cian.ru/zastroishchik-sz-komfortinvest-15262/,11 домов в 1 ЖК
114,СЗ Отрада Вилладж,https://www.cian.ru/zastroishchik-sz-otrada-villadzh-19441/,7 домов в 1 ЖК
115,Вектор,https://www.cian.ru/zastroishchik-vektor-17667/,73 дома в 5 ЖК
116,ГК СУ-10,https://www.cian.ru/zastroishchik-gk-su-10-8966/,22 дома в 12 ЖК
117,РУГРУПП ДЕВЕЛОПМЕНТ,https://www.cian.ru/zastroishchik-rugrupp-development-18198/,1 дом в 1 ЖК
118,Р-Инвест,https://www.cian.ru/zastroishchik-r-invest-17745/,10 домов в 3 ЖК
119,Аеон Девелопмент,https://www.cian.ru/zastroishchik-aeon-development-16870/,18 домов в 2 ЖК
120,Фонд развития территорий,https://www.cian.ru/zastroishchik-fond-razvitiia-territorii-15720/,224 дома в 29 ЖК
121,ГК Некрасовка Девелопмент,https://www.cian.ru/zastroishchik-gk-nekrasovka-development-8181/,44 дома в 5 ЖК
122,ГК ИНВЕСТ-СТРОЙ,https://www.cian.ru/zastroishchik-gk-invest-stroi-8193/,16 домов в 3 ЖК
123,СЗ ТПУ Рассказовка,https://www.cian.ru/zastroishchik-sz-tpu-rasskazovka-14731/,4 дома в 1 ЖК
124,СЗ Гефест-Инвест,https://www.cian.ru/zastroishchik-sz-gefest-invest-7228/,22 дома в 5 ЖК
125,Ферро-Строй,https://www.cian.ru/zastroishchik-ferro-stroi-7991/,23 дома в 3 ЖК
126,СЗ СтартСК,https://www.cian.ru/zastroishchik-sz-startsk-18510/,3 дома в 1 ЖК
127,Центр-Инвест,https://www.cian.ru/zastroishchik-tsentr-invest-7671/,31 дом в 11 ЖК
128,СЗ Минские холмы,https://www.cian.ru/zastroishchik-sz-minskie-kholmy-15265/,3 дома в 1 ЖК
129,Ойкумена,https://www.cian.ru/zastroishchik-oikumena-2747/,38 домов в 12 ЖК
130,ДК Конструктор,https://www.cian.ru/zastroishchik-dk-konstruktor-7050/,73 дома в 3 ЖК
131,СЗ Галакс+,https://www.cian.ru/zastroishchik-sz-galaks-9950/,3 дома в 1 ЖК
132,Стройтэкс,https://www.cian.ru/zastroishchik-stroiteks-7835/,20 домов в 9 ЖК
133,Тверской ДСК,https://www.cian.ru/zastroishchik-tverskoi-dsk-8392/,61 дом в 9 ЖК
134,ПроГород (группа ВЭБ.РФ),https://www.cian.ru/zastroishchik-progorod-gruppa-veb-rf-16317/,3 дома в 1 ЖК
135,СЗ Универсаль,https://www.cian.ru/zastroishchik-sz-universal-16262/,1 дом в 1 ЖК
136,СЗ ЭСИ,https://www.cian.ru/zastroishchik-sz-esi-16784/,2 дома в 1 ЖК
137,Имена,https://www.cian.ru/zastroishchik-imena-18261/,1 дом в 1 ЖК
138,ОМ Девелопмент,https://www.cian.ru/zastroishchik-om-development-19230/,5 домов в 1 ЖК
139,Apsis Globe,https://www.cian.ru/zastroishchik-apsis-globe-10047/,2 дома в 1 ЖК
140,М1 Девелопмент,https://www.cian.ru/zastroishchik-m1-development-15208/,1 дом в 1 ЖК
141,Мосфундаментстрой-6,https://www.cian.ru/zastroishchik-mosfundamentstroi-6-7047/,14 домов в 5 ЖК
142,Корпорация «Кошелев»,https://www.cian.ru/zastroishchik-korporatsiia-koshelev-11392/,105 домов в 3 ЖК
143,Ю-Инвест,https://www.cian.ru/zastroishchik-iu-invest-17206/,11 домов в 1 ЖК
144,Optima Development,https://www.cian.ru/zastroishchik-optima-development-13083/,5 домов в 1 ЖК
145,АГРОСТРОЙ,https://www.cian.ru/zastroishchik-agrostroi-8565/,44 дома в 1 ЖК
146,СЗ Т-ОТЕЛЬ,https://www.cian.ru/zastroishchik-sz-t-otel-18731/,1 дом в 1 ЖК
147,Апрелевка С2,https://www.cian.ru/zastroishchik-aprelevka-s2-8745/,117 домов в 1 ЖК
148,Рублево-Архангельское,https://www.cian.ru/zastroishchik-rublevo-arkhangelskoe-17228/,2 дома в 1 ЖК
149,СЗ БАЛЧУГ ЭСТЕЙТ,https://www.cian.ru/zastroishchik-sz-balchug-esteit-19173/,4 дома в 1 ЖК
150,October Group,https://www.cian.ru/zastroishchik-october-group-17839/,3 дома в 2 ЖК
151,СЗ РКП,https://www.cian.ru/zastroishchik-sz-rkp-16371/,1 дом в 1 ЖК
152,СЗ Резиденция 15,https://www.cian.ru/zastroishchik-sz-rezidentsiia-15-17199/,3 дома в 1 ЖК
153,СЗ ТПУ Мичуринский проспект,https://www.cian.ru/zastroishchik-sz-tpu-michurinskii-prospekt-16387/,2 дома в 1 ЖК
154,ENGEO Development,https://www.cian.ru/zastroishchik-engeo-development-14236/,3 дома в 1 ЖК
155,AUTHOR DEVELOPMENT,https://www.cian.ru/zastroishchik-author-development-17549/,7 домов в 1 ЖК
156,Мегаполис Груп,https://www.cian.ru/zastroishchik-megapolis-grup-13097/,3 дома в 1 ЖК
157,AB Development,https://www.cian.ru/zastroishchik-ab-development-14336/,10 домов в 2 ЖК
158,ГК Sun Development,https://www.cian.ru/zastroishchik-gk-sun-development-12950/,6 домов в 4 ЖК
159,Трастком Девелопмент,https://www.cian.ru/zastroishchik-trastkom-development-15232/,1 дом в 1 ЖК
160,Авеста-Строй,https://www.cian.ru/zastroishchik-avesta-stroi-12074/,55 домов в 1 ЖК
161,Замитино,https://www.cian.ru/zastroishchik-zamitino-11896/,15 домов в 2 ЖК
